Category,Description
Administrative_Communication,Communicate with the executive and facilities management regarding the negotiation of franchise agreements.
Document_Writing,Draft the resolution declaring intention to establish the city of Alameda Community Facility District number 22. | Draft the resolution declaring intention to incur bonded indebtedness of the proposed development for Community Facility District number 22.
Document_Writing,Prepare a contract proposal that prices both options for the barricades.
Meeting_Planning,Schedule a follow-up meeting to discuss the pricing and safety comparisons for the barricades.
Document_Writing,Prepare the disclosure package for property owners regarding the measures included in the community facility district.
Administrative_Communication,Inform property owners about the establishment of the community facility district and potential levy of special taxes.
Document_Writing,Prepare the documentation for the appointment of Noel Frame as state representative.
Meeting_Planning,Set the special meeting of the county council at 1:30 PM to act on the recommendations.
Administrative_Communication,Notify the council members about the special meeting scheduled for 1:30 PM.
Document_Writing,Draft the amendment to include the name Reuben Carlisle as an appointee to the state Senate in the motion.
Meeting_Planning,Schedule the special meeting of the full council for the appointment discussion.
Administrative_Communication,Send the revised agenda to the new appointees.
Document_Writing,Draft the agreement for the city manager to execute with interim Jordan regarding the $31 million contract. | Prepare the budget resolution related to the infrastructure replacement phase.
Administrative_Communication,Communicate with city manager's office regarding the confirmation of voter approvals related to the project.
Meeting_Planning,Gather more information about what other cities are doing for their council meetings and public meetings to consider a hybrid model.
Document_Writing,Draft the resolution amending the fiscal year 2122 budget. | Draft the resolution amending the City of Alameda City Employees Association salary schedule. | Develop a strategic communications plan for the city manager's office.
Meeting_Planning,Schedule budget workshops in May for further budget discussions.
Administrative_Communication,Prepare communication regarding the upcoming budget hearings.
Document_Writing,Draft the Sixth Amendment to the agreement with Cultivate LLC to increase compensation.
